clean_review,Star
manager rude speaks employees spanish insult customers security guard creepy,1
good,4
waste time line 30 minutes woman window asked receipt did not order correct spent 5 minutes pick trying corrected asked eipt told lost said wanted manager slammed window shut manager said order receipt stated order screen holds orders 25 minutes not sure think mcdonalds location later evening suggest not stop,1
drive smooth service good,4
excellent,5
excellent,5
neutral,3
world son,5
food fresh son loves head school little lunch,5
people don't like protect don't fully cover nose mouth masks!,3
worst mcdonald's seen dirty bad service arrogant staff business instead working,1
shouldn't waiting fast food 40 minutes order chicken nuggets wanted watered drinks mean know fast food isn't easy damn 40 minutes really break staff extreamly slow won't,1
literally worst mcdonald s ve visited lucky t zero stars just came location guy waited 15 mins small coffee took forever order received food asked sauce told no didn,1
best thing mcdonald's cleanliness compared mcd restaurants queens worst thing staff pay no mind customers waiting line order taken isn't busy slightest don't receipt order ready bag they'll set aside realize later watch complete orders wondering taking long turns order read just never bother number everyday it's different stars best,2
terrible,1
terrible,1
long lines lately outside drive inside slow toi,3
,5
stores macdonals chain visited slowest customer service lady know employee employee number abusive way attending closed explanation offer wanted argued not problem explain place orders mockery did not want order cancel order fought service like going order gift,2
beautiful establishment inside soda dispensers weren't working waiting line drinks ketchup sucks customers placing orders facing dilemma,2
excellent,5
great food super customer service quick,5
neutral,3
dining room gnats told employee no reaction maybe gnats amoing raely giant hurry reason,2
good service friendly,5
thankful they're open late,5
love place like people enjoy time,4
place dirty playground kids playing vomit couldn,1
neutral,3
bad service took 30 minutes food cashier forget son food wait food 15 minutes never,1
sorry rate just 12 years ago rated changed fries thinner not good got spicy chicken sandwich spicy patty came lettuce tomato crispy chicken patty spicy sauce pickles lettuce tomato oh order deluxe getting cheaper food prices not pleased disappointed,2
opens 24 hours staffs don't let people bathroom no reason got like 8 40 pm rude customers never come again!!!!!!,1
pretty quick inside,4
10 10 otel mc awesome open till relly late come restaurants closed,5
told order prepared waited 20 min told didn t order people patheti,1
fast great service,4
wait food wouldn't come beeped horn drive forgot root beer line,3
it's mcfat expect,4
takes forever food,1
quick food pretty clean environment cheap food it's mcdonald's don't vary general outliers consistent i've come expect mcdonald's,5
nice stop disney world did like better remodeled,4
god mcdonald's people don't want work i've gone times 2 morning tell it's breakfast menu check uber menu regular menu it's just don't t want make food times really horrible not recommend place close gone times 2am place orders simply say menu breakfast never want order time likewise uber eats orders place really not worth disappointed services mcdonald's staff work shouldn't people like,1
careful packing food drive,3
good location went drive line little long busy area got food quick wait couple minutes not able drink cup food staff quick friendly,5
alright little apprehensive saying lately eaten mcdonald's place near home 3 meal order tasting noticeably good! never say kids wow taste taste c'mon 1 bite tell good! like confirmations food improves taste just big belly food taste quality tick,3
second floor closed,1
excellent,5
manager cassandra rude customers unprofessional did not acknowledge people standing register asked taking orders reply that's kiosks customers walked work uber eats driver picking food experience unpleasant,1
expected mcdonald's recommend,5
awful filthy place 84 degrees outside no ice cream place looks like zoo cups paper food lies ground horrible,1
great service,4
cold fries missing food wrong food no receipt proof purchase location just opened not long ago lack orders given huge problem want good reviews pay attention people ordering food ran mcdonalds know not leadership crew members need work actually doing taught paid,1
place terrible managers worst attitudes 9 getting food w mom asked lady barbecue ketchup said oh no ketchup buffalo lady aka manager goes don t start attitude giving attitude deff quit doesn,1
excellent,5
terrible service slow location mcdonald's 3 times week elgin manor austin location not time remember don't toooooo slow everytime!!!,1
worst mcdonald's i've i've tried times it's way work today honestly i'd skip breakfast got completely soggy hash brown soggy way got small caramel frappe shot espresso espresso just poured frappe got espresso tried add insult injury small cup dumped rest medium cup worked mcdonald's 2 years does not follow procedures,1
fast easy ice cream cone,5
good service clean good service,5
place worst come twice day don't know food wrong time no matter people running speaker drive menu not know product nor day engage correctly correct language not not extra milks today spilled coffee drive thru! not coming,1
yo mcdonalds not fine dinning,3
excellent,5
delicious,3
waiting order 5 minutes later told use screen no thanks don't work mcdonalds im money making purchase appreciate option screen long line fiddle garbage no order no thanks far options bye mcdonalds no loss,1
neutral,3
drive 45 minutes ridiculous!,1
quick service easy ordering not busy entered,5
good service food came really quick good coffee quality food,5
worst mcdonald's i've receipt just use disgusting bathroom clean month rude customers paying bills don't,1
smaller average mcdonald's menu items mcdonald's mini playland children 5 years old recommend mandatory adult supervision hard surfaces drive 20 parking spaces small corner lot mcdonald's,3
far worse mcdonald's staff playing cell phones manager goofing long line people wait,1
nice place,5
fast,5
fast pleasant,5
little bit language barrier needs improvement staff can't understand customer just ask repeat customer's statement clarify,3
neutral,3
poor customer service,2
excellent,5
hate,1
chinese lady bad service,1
baaaad service!!!,1
need drive sign,1
friendly staff clean restaurant,4
