clean_review,Star
manager rude speaks employees spanish insult customers security guard creepy,1
good,4
waste time line minutes woman window asked receipt did order correct spent minutes pick trying corrected asked eipt told lost said wanted manager slammed window shut manager said order receipt stated order screen holds orders minutes sure think mcdonalds location later evening suggest stop,1
drive smooth service good,4
excellent,5
excellent,5
neutral,3
world son,5
food fresh son loves head school little lunch,5
people don like protect don fully cover nose mouth masks,3
worst mcdonald seen dirty bad service arrogant staff business instead working,1
shouldn waiting fast food minutes order chicken nuggets wanted watered drinks mean know fast food isn easy damn minutes really break staff extreamly slow won,1
literally worst mcdonald ve visited lucky zero stars just came location guy waited mins small coffee took forever order received food asked sauce told didn,1
best thing mcdonald cleanliness compared mcd restaurants queens worst thing staff pay mind customers waiting line order taken isn busy slightest don receipt order ready bag ll set aside realize later watch complete orders wondering taking long turns order read just bother number everyday different stars best,2
terrible,1
terrible,1
long lines lately outside drive inside slow toi,3
,5
stores macdonals chain visited slowest customer service lady know employee employee number abusive way attending closed explanation offer wanted argued problem explain place orders mockery did want order cancel order fought service like going order gift,2
beautiful establishment inside soda dispensers weren working waiting line drinks ketchup sucks customers placing orders facing dilemma,2
excellent,5
great food super customer service quick,5
neutral,3
dining room gnats told employee reaction maybe gnats amoing raely giant hurry reason,2
good service friendly,5
thankful open late,5
love place like people enjoy time,4
place dirty playground kids playing vomit couldn,1
neutral,3
bad service took minutes food cashier forget son food wait food minutes,1
sorry rate just years ago rated changed fries thinner good got spicy chicken sandwich spicy patty came lettuce tomato crispy chicken patty spicy sauce pickles lettuce tomato oh order deluxe getting cheaper food prices pleased disappointed,2
opens hours staffs don let people bathroom reason got like pm rude customers come,1
pretty quick inside,4
otel mc awesome open till relly late come restaurants closed,5
told order prepared waited min told didn order people patheti,1
fast great service,4
wait food wouldn come beeped horn drive forgot root beer line,3
mcfat expect,4
takes forever food,1
quick food pretty clean environment cheap food mcdonald don vary general outliers consistent ve come expect mcdonald,5
nice stop disney world did like better remodeled,4
god mcdonald people don want work ve gone times morning tell breakfast menu check uber menu regular menu just don want make food times really horrible recommend place close gone times place orders simply say menu breakfast want order time likewise uber eats orders place really worth disappointed services mcdonald staff work shouldn people like,1
careful packing food drive,3
good location went drive line little long busy area got food quick wait couple minutes able drink cup food staff quick friendly,5
alright little apprehensive saying lately eaten mcdonald place near home meal order tasting noticeably good say kids wow taste taste mon bite tell good like confirmations food improves taste just big belly food taste quality tick,3
second floor closed,1
excellent,5
manager cassandra rude customers unprofessional did acknowledge people standing register asked taking orders reply kiosks customers walked work uber eats driver picking food experience unpleasant,1
expected mcdonald recommend,5
awful filthy place degrees outside ice cream place looks like zoo cups paper food lies ground horrible,1
great service,4
cold fries missing food wrong food receipt proof purchase location just opened long ago lack orders given huge problem want good reviews pay attention people ordering food ran mcdonalds know leadership crew members need work actually doing taught paid,1
place terrible managers worst attitudes getting food mom asked lady barbecue ketchup said oh ketchup buffalo lady aka manager goes don start attitude giving attitude deff quit doesn,1
excellent,5
terrible service slow location mcdonald times week elgin manor austin location time remember don toooooo slow everytime,1
worst mcdonald ve ve tried times way work today honestly skip breakfast got completely soggy hash brown soggy way got small caramel frappe shot espresso espresso just poured frappe got espresso tried add insult injury small cup dumped rest medium cup worked mcdonald years does follow procedures,1
fast easy ice cream cone,5
good service clean good service,5
place worst come twice day don know food wrong time matter people running speaker drive menu know product day engage correctly correct language extra milks today spilled coffee drive coming,1
yo mcdonalds fine dinning,3
excellent,5
delicious,3
waiting order minutes later told use screen thanks don work mcdonalds im money making purchase appreciate option screen long line fiddle garbage order thanks far options bye mcdonalds loss,1
neutral,3
drive minutes ridiculous,1
quick service easy ordering busy entered,5
good service food came really quick good coffee quality food,5
worst mcdonald ve receipt just use disgusting bathroom clean month rude customers paying bills don,1
smaller average mcdonald menu items mcdonald mini playland children years old recommend mandatory adult supervision hard surfaces drive parking spaces small corner lot mcdonald,3
far worse mcdonald staff playing cell phones manager goofing long line people wait,1
nice place,5
fast,5
fast pleasant,5
little bit language barrier needs improvement staff understand customer just ask repeat customer statement clarify,3
neutral,3
poor customer service,2
excellent,5
hate,1
chinese lady bad service,1
baaaad service,1
need drive sign,1
friendly staff clean restaurant,4
incredibly slow service sat drive minutes line moving finally got food crispy chicken sandwich tasted stale texture chewy crisp wasn asked wanted ketchup sauces sandwich didn drop mayonnaise just oddly dry pickles soggy bun park inside condiments expected mcdonald experience soda tasted like sanitizer location stop mcdonald blindingly hungry verge passing past experiences locations orlando disgusting update got food poisoning thing ate,1
great staff didn eat picked food uber eats,5
excellent,5
randomly night,1
mcdonald broadway clean decent servers place like family,5
mcron baby consistency policy kids love place,5
love,5
went mcdonald ordered pasta ravioli noodles bolognese sauce mind good eating got home like mins starte,1
asked plain cheeseburger literally reiterated twice wanted ketchup cheese just pickles onions got home ready eat disappointed,1
terrible,1
